기온분석
1991-03-18,108,5.3,-0.9,11.4
1991-03-19,108,9.8,3.4,16.4
1991-03-20,108,11.1,6.9,14.8
1991-03-21,108,6.8,3.4,10.7
1991-03-22,108,7.2,2.2,13.9
1991-03-23,108,8.2,2.8,14
1991-03-24,108,10.2,4,17
1991-03-25,108,12.7,9.3,18.9
1991-03-26,108,9.8,2,15.8
1991-03-27,108,3.9,1.9,5.6
1991-03-28,108,7,3.6,11.8
1991-03-29,108,7,3.2,11.1
1991-03-30,108,5,0.4,9.9
1991-03-31,108,1.1,-1.9,6.4
1991-04-01,108,2.3,-3.4,8.4
1991-04-02,108,5.7,0,11.2
1991-04-03,108,8,4.8,13.9
1991-04-04,108,8.8,2.8,15
1991-04-05,108,9.5,2.6,15.8
1991-04-06,108,13.3,6.8,19.5
1991-04-07,108,16.2,9.8,24.1
1991-04-08,108,15.2,9.2,22.7
1991-04-09,108,16,9.1,23.6
1991-04-10,108,17.2,12.3,22.4
1991-04-11,108,19.2,11.7,25.6
1991-04-12,108,17.2,13.4,23.1
1991-04-13,108,12.7,10,14.7
1991-04-14,108,11.4,7.3,16.6
1991-04-15,108,11.7,7.8,15.6
1991-04-16,108,13.2,5.6,21.9
1991-04-17,108,12.7,7.9,19.7
1991-04-18,108,12.6,10,17.1
1991-04-19,108,11.6,6.2,17.7
1991-04-20,108,11.9,6.4,17.3
1991-04-21,108,11.8,5.9,18.8
1991-04-22,108,14.3,7.8,20.1
1991-04-23,108,16.4,8.5,23.6
1991-04-24,108,17.1,12.9,22.3
1991-04-25,108,14.8,9,19.8
1991-04-26,108,12.4,5.9,18.9
1991-04-27,108,14.1,6.7,21.4
1991-04-28,108,14.8,9.6,21.5
1991-04-29,108,15.3,11.1,20.4
1991-04-30,108,13,9,19.2
1991-05-01,108,11.1,8,14.9
1991-05-02,108,11.6,7.6,16
1991-05-03,108,13.2,7.6,19.6
1991-05-04,108,13.6,7.4,20.1
1991-05-05,108,16.1,7.5,24.7
1991-05-06,108,14.1,11.7,17.2
1991-05-07,108,14.4,12.2,19.5
1991-05-08,108,14.2,11.2,18.1
1991-05-09,108,17,12.4,22.9
1991-05-10,108,18.1,13.9,23.4
1991-05-11,108,18,12,23
1991-05-12,108,17,13,23
1991-05-13,108,17.1,13.1,23.5
1991-05-14,108,19.1,11.1,26.8
1991-05-15,108,18.3,12,24.6
1991-05-16,108,13.8,11.2,17.2
1991-05-17,108,16.4,11.1,22.2
1991-05-18,108,18.3,11.6,23.9
1991-05-19,108,21,16.3,27.6
1991-05-20,108,23.6,17.3,30.2
1991-05-21,108,23.1,16.3,29.6
1991-05-22,108,22.3,16,29.5
1991-05-23,108,25.5,20.4,31.1
1991-05-24,108,21,19.3,23.6
1991-05-25,108,16.7,12.1,20.1
1991-05-26,108,12.8,12,13.4
1991-05-27,108,16.9,12.8,21.8
1991-05-28,108,19,14.6,24.1
1991-05-29,108,19.4,13.5,25.2
1991-05-30,108,19.9,15,24.3
1991-05-31,108,20.5,14.7,27.2
1991-06-01,108,19.6,17.2,24.1
1991-06-02,108,21.4,15.2,27.9
1991-06-03,108,20.4,17.1,22.7
1991-06-04,108,20.1,16.3,25.7
1991-06-05,108,20.8,16.3,26.1
1991-06-06,108,22.3,16.2,29.2
1991-06-07,108,23.8,16.7,30.4
1991-06-08,108,24.6,19.1,30.9
1991-06-09,108,22.1,20.3,25
1991-06-10,108,22.3,18.5,25.8
1991-06-11,108,22.2,20.1,24.9
1991-06-12,108,21.2,17.9,24.5
1991-06-13,108,21,16.8,26.9
1991-06-14,108,23.5,17,30
1991-06-15,108,25.2,19.2,30.9
1991-06-16,108,24.4,20.8,30.9
1991-06-17,108,21.8,18.4,26.9
1991-06-18,108,22.7,16.7,28.3
1991-06-19,108,22.6,16.9,28.9
1991-06-20,108,21.4,18.5,25
1991-06-21,108,21.7,16.3,28.3
1991-06-22,108,22.6,18.5,28.6
1991-06-23,108,21.8,18.7,29.8
1991-06-24,108,22.7,18.8,27.4
1991-06-25,108,24.8,20.6,29.1
1991-06-26,108,23.1,21.2,26.3
1991-06-27,108,23.8,20.9,27.9
1991-06-28,108,25.7,22.3,31.8
1991-06-29,108,23.6,19.5,25.8
1991-06-30,108,23.7,18,29
1991-07-01,108,22.9,20.5,24.6
1991-07-02,108,24,18.7,29.5
1991-07-03,108,25.2,21,30.8
1991-07-04,108,26.2,23,31.2
1991-07-05,108,25.7,22.5,29.9
1991-07-06,108,24.9,21.4,29.6
1991-07-07,108,22,18.8,25.6
1991-07-08,108,21.8,18,25.7
1991-07-09,108,22.1,19.4,24.5
1991-07-10,108,23.3,20.3,27.6
1991-07-11,108,22.6,20.1,25.2
1991-07-12,108,24,19.2,29.4
1991-07-13,108,24.5,20.4,29.1
1991-07-14,108,25.2,21.8,29.1
1991-07-15,108,23.1,21.6,24.5
1991-07-16,108,23.4,21.5,26.7
1991-07-17,108,24.5,21.7,28.6
1991-07-18,108,25.7,22.6,30.3
1991-07-19,108,24.3,22.5,27.4
1991-07-20,108,24.6,20.9,25.9
1991-07-21,108,24.5,22.9,25.9
1991-07-22,108,25.9,23.5,27.3
1991-07-23,108,25,22.9,27.9
1991-07-24,108,24.3,22.8,25.7
1991-07-25,108,22,21,24.4
1991-07-26,108,23.6,19.7,27
1991-07-27,108,25.2,22,29.5
1991-07-28,108,27.1,22.3,32
1991-07-29,108,27,25,30.3
1991-07-30,108,24.7,22.9,27.7
1991-07-31,108,25.3,21.8,29.5
1991-08-01,108,27,24,30.3
1991-08-02,108,22.3,20.1,24.4
1991-08-03,108,24.4,21.1,28.3
1991-08-04,108,23.6,21.7,25.9
1991-08-05,108,24,19.8,30
1991-08-06,108,23.7,19.8,28.2
1991-08-07,108,23.4,19.7,28.7
1991-08-08,108,25.7,20.6,30.8
1991-08-09,108,23.2,20.9,25.4
1991-08-10,108,25.1,21.7,29.5
1991-08-11,108,25.8,21.1,30.9
1991-08-12,108,26.3,21.6,31.5
1991-08-13,108,27.1,22.5,31.8
1991-08-14,108,28.1,24.3,33.2
1991-08-15,108,28.6,24.6,34.2
1991-08-16,108,27.6,24.3,31.4
1991-08-17,108,27.3,24.8,31.5
1991-08-18,108,27.3,25,31.6
1991-08-19,108,27,23.2,31.5
1991-08-20,108,29.1,23,34.7
1991-08-21,108,27.9,24,33.2
1991-08-22,108,25.8,23,29.3
1991-08-23,108,22.5,20.4,24.4
1991-08-24,108,25.2,21.4,29.9
1991-08-25,108,26.3,23.1,30.1
1991-08-26,108,25.7,19.7,30
1991-08-27,108,23,16.3,29.1
1991-08-28,108,23.2,15.7,29.7
1991-08-29,108,25.1,18.2,31.8
1991-08-30,108,24.4,21.1,29.1
1991-08-31,108,24.3,21.8,29.2
1991-09-01,108,25.5,21.6,30.5
1991-09-02,108,25.7,21,30.2
1991-09-03,108,22.6,21.1,25.1
1991-09-04,108,21,19.5,23.4
1991-09-05,108,22,21.3,23.2
1991-09-06,108,21.7,19.5,25.9
1991-09-07,108,23.5,18.7,29.6
1991-09-08,108,24.8,18.9,31
1991-09-09,108,24.9,19.2,29.8
1991-09-10,108,23.9,20.5,28
1991-09-11,108,22.5,20.4,24.2
1991-09-12,108,21.2,16.7,26.2
1991-09-13,108,22,15,28.7
1991-09-14,108,22.7,19.1,28
1991-09-15,108,21.7,17.1,27.2
1991-09-16,108,21.8,16.9,27
1991-09-17,108,21.2,17.1,25.8
1991-09-18,108,22.8,17.5,28.1
1991-09-19,108,21.5,17.9,25.2
1991-09-20,108,17.5,13.7,22.6
1991-09-21,108,19.3,14.8,24
1991-09-22,108,19.8,15.5,26.2
1991-09-23,108,19.1,15.6,23.1
1991-09-24,108,19.8,15.8,23.6
1991-09-25,108,19.5,15.7,24.2
1991-09-26,108,18.6,16.8,21.4
1991-09-27,108,17.9,16.2,19
1991-09-28,108,16.7,13,21.4
1991-09-29,108,16.1,10.1,22.5
1991-09-30,108,15.7,11.5,21
1991-10-01,108,18,11.1,25.8
1991-10-02,108,18.4,14.1,23.6
1991-10-03,108,18.7,16,21.7
1991-10-04,108,15.9,11.9,20.8
1991-10-05,108,15.5,10.2,21.3
1991-10-06,108,16.6,10.5,22.2
1991-10-07,108,13.3,8.7,18.8
1991-10-08,108,15.7,8.8,23.5
1991-10-09,108,17.3,11,24.6
1991-10-10,108,17.4,11,24.1
1991-10-11,108,17.4,10.7,25.2
1991-10-12,108,17,11.5,24.2
1991-10-13,108,17.4,11,24.2
1991-10-14,108,13.4,9.3,17.7
1991-10-15,108,12.5,6.7,17.9
1991-10-16,108,13.3,10.6,17.4
1991-10-17,108,12.8,9.5,17.2
1991-10-18,108,13.2,8.3,20.6
1991-10-19,108,9.3,5.4,13
1991-10-20,108,9.8,5.2,14.1
1991-10-21,108,10.9,4.1,17
1991-10-22,108,10.5,5.4,14.8
1991-10-23,108,11.1,5.7,17.1
1991-10-24,108,11.5,7.5,16.3
1991-10-25,108,12.4,7.7,18.3
1991-10-26,108,15,10.4,22.3
1991-10-27,108,11,8,14.9
1991-10-28,108,10.6,6.2,15.3
1991-10-29,108,10.5,4.8,16.4
1991-10-30,108,11.7,8,17
1991-10-31,108,10.9,4.5,18.1
1991-11-01,108,10.8,5.7,16.2
1991-11-02,108,11.5,6.7,15.7
1991-11-03,108,10.3,1.7,14.2
1991-11-04,108,3.7,-1.6,9.3
1991-11-05,108,7.8,1.3,14.7
1991-11-06,108,11,5.7,17.6
1991-11-07,108,9.3,6.5,11
1991-11-08,108,7,3.8,10.6
1991-11-09,108,6.4,1,9.6
1991-11-10,108,4.9,2.3,7.7
1991-11-11,108,2.3,0,5.8
1991-11-12,108,6.3,1.8,10.4
1991-11-13,108,8.1,4.4,12.3
1991-11-14,108,4.6,1.5,8.4
1991-11-15,108,3.8,-0.7,9.4
1991-11-16,108,5.9,0.1,11.2
1991-11-17,108,7.1,4.4,10.6
1991-11-18,108,6.2,1.2,11.3
1991-11-19,108,6.3,3.7,9.9
1991-11-20,108,4.5,0.3,8.8
1991-11-21,108,7.8,4.6,12.3
1991-11-22,108,9.9,7.1,12.6
1991-11-23,108,9.1,3,12.7
1991-11-24,108,1.3,-1.6,4.6
1991-11-25,108,1.2,-4,7.7
1991-11-26,108,3.4,-1.9,9.1
1991-11-27,108,4.7,0.4,9.7
1991-11-28,108,6.3,3.3,10.9
1991-11-29,108,6.2,1.7,11.5
1991-11-30,108,6.6,2,11
1991-12-01,108,2.9,-1.2,7.8
1991-12-02,108,4.2,-0.5,8.8
1991-12-03,108,2.8,-0.6,7.3
1991-12-04,108,2.6,-3.3,8.4
1991-12-05,108,6.1,1.8,12.3
1991-12-06,108,8.1,2.4,12.8
1991-12-07,108,8.4,6.2,10.9
1991-12-08,108,3.8,-0.9,6.4
1991-12-09,108,-1,-3.8,1.8
1991-12-10,108,-0.7,-3.7,2
1991-12-11,108,-1.8,-8.4,1.1
1991-12-12,108,-7.9,-11,-4.7
1991-12-13,108,-1.9,-8.2,2.9
1991-12-14,108,5.6,1.6,9.6
1991-12-15,108,7,2.4,12.5
1991-12-16,108,8.7,4.8,12.9
1991-12-17,108,6.4,1.8,8.8
1991-12-18,108,3.1,1,4.6
1991-12-19,108,3.6,1.8,6.3
1991-12-20,108,3.2,0.3,7.4
1991-12-21,108,2.3,-0.4,6
1991-12-22,108,4.7,-0.5,10.7
1991-12-23,108,6.2,4.9,8
1991-12-24,108,3.4,0.6,5.6
1991-12-25,108,3.2,2.1,4.5
1991-12-26,108,3.2,1.3,5.2
1991-12-27,108,1,-2.2,3.7
1991-12-28,108,-5.7,-9,-2.2
1991-12-29,108,-8.1,-11.1,-3.9
1991-12-30,108,-5.6,-10.6,-0.2
1991-12-31,108,-0.4,-3.7,4.1
1992-01-01,108,1.8,-0.7,6
1992-01-02,108,1,-1.5,5.1
1992-01-03,108,-1.9,-5,1.8
1992-01-04,108,-2.4,-6.4,2.3
1992-01-05,108,0.2,-2.5,2.4
1992-01-06,108,3.9,2.1,5.6
1992-01-07,108,2.3,0.1,4.2
1992-01-08,108,0.9,-1.5,3.8
1992-01-09,108,0.4,-1.2,3.5
1992-01-10,108,0.4,-3.3,5.7
1992-01-11,108,0.2,-4.1,4.3
1992-01-12,108,2.2,-1.9,5.7
1992-01-13,108,1.8,-0.4,3.7
1992-01-14,108,0,-3.2,4.1
1992-01-15,108,-1.3,-4.5,2.8
1992-01-16,108,-0.8,-2.4,1.6
1992-01-17,108,-4.4,-7.3,-2.4
1992-01-18,108,-5.7,-8.8,-2
1992-01-19,108,-5,-9.1,-0.6
1992-01-20,108,-3.4,-9,2.4
1992-01-21,108,-0.1,-4.2,5
1992-01-22,108,-0.4,-4.2,1.9
1992-01-23,108,-2.8,-6.2,1.4
1992-01-24,108,-0.8,-5.3,3.3
1992-01-25,108,1.9,-1,5.4
1992-01-26,108,0.3,-4.3,5.6
1992-01-27,108,2,-0.3,4.9
1992-01-28,108,2.3,-2.6,7.6
1992-01-29,108,2.1,0.2,5
1992-01-30,108,0.4,-2.3,4.1
1992-01-31,108,-1.1,-4.1,2.1
1992-02-01,108,-0.9,-3.9,3.3
1992-02-02,108,-0.6,-3.1,1.3
1992-02-03,108,0.7,-1.6,4.1
1992-02-04,108,-1.7,-5,1.8
1992-02-05,108,-1.9,-7.1,3.8
1992-02-06,108,-2.1,-5,3.1
1992-02-07,108,-3.4,-7,1.2
1992-02-08,108,-3.7,-7.8,0.6
1992-02-09,108,-1.8,-7.1,3.8
1992-02-10,108,1.2,-3.2,4.8
1992-02-11,108,-1.9,-6.3,4.1
1992-02-12,108,-0.2,-3.2,2.9
1992-02-13,108,-1,-4.4,2.5
1992-02-14,108,1.1,-3.1,4.9
1992-02-15,108,2.9,-1.8,8.2
1992-02-16,108,-3.1,-6.2,0.4
1992-02-17,108,-2.3,-7,2.6
1992-02-18,108,0.4,-4,4.4
1992-02-19,108,-3.5,-6.5,0.2
1992-02-20,108,-1.7,-6.9,2.8
1992-02-21,108,-0.9,-4.6,2.5
1992-02-22,108,1,-4.9,5.4
1992-02-23,108,1.8,-1.4,4.8
1992-02-24,108,0.8,-3.1,5.5
1992-02-25,108,2.7,-1.5,8.5
1992-02-26,108,5.7,-1.1,12.6
1992-02-27,108,10,4.9,15.8
1992-02-28,108,11.3,6.1,15.9
1992-02-29,108,12.3,10,13.2
1992-03-01,108,9.9,6.6,14.3
1992-03-02,108,7.2,4.7,11.7
1992-03-03,108,6.2,2,11
1992-03-04,108,5.4,1.4,8.7
1992-03-05,108,3,1.3,6.3
1992-03-06,108,2.7,-0.4,6.9
1992-03-07,108,2.8,-1.5,6.5
1992-03-08,108,4.8,0,10
1992-03-09,108,5.8,1.2,10.9
1992-03-10,108,5.7,2.9,10.3
1992-03-11,108,6.7,0.3,12
1992-03-12,108,7.8,5.3,12.1
1992-03-13,108,7.6,1.8,13.5
1992-03-14,108,9.5,4.1,14.8
1992-03-15,108,10.1,6.5,16.4
1992-03-16,108,6.6,4.1,8
1992-03-17,108,4.8,2.9,7.8
1992-03-18,108,5.9,2.5,10.3
1992-03-19,108,6.8,3.6,11.3
1992-03-20,108,5.8,0.5,11.3
1992-03-21,108,6.6,3.6,11.2
1992-03-22,108,7.1,1,13.4
1992-03-23,108,7.1,5.8,8.9
1992-03-24,108,7.2,5.5,8.7
1992-03-25,108,7.1,2.9,10.7
1992-03-26,108,10.9,5.1,16.9
1992-03-27,108,13.2,6.9,20.2
1992-03-28,108,13.8,8.4,19.3
1992-03-29,108,12.5,7.9,17.7
1992-03-30,108,12,6.4,18.2
1992-03-31,108,13.4,6.2,19.8
1992-04-01,108,12.5,8.7,17.5
1992-04-02,108,11.7,7.7,18.3
1992-04-03,108,14.1,6.8,20.4
1992-04-04,108,15.6,10,22
1992-04-05,108,14.8,9,21.5
1992-04-06,108,14.1,8.7,21.6
1992-04-07,108,13.5,7.2,20.2
1992-04-08,108,12.8,8.6,16.7
1992-04-09,108,16.5,9.9,24.3
1992-04-10,108,8.7,5.9,13.8
1992-04-11,108,6.9,3.6,12.8
1992-04-12,108,6.1,1.5,10
1992-04-13,108,7.9,3.1,13.5
1992-04-14,108,8.8,4.5,13.9
1992-04-15,108,5.2,3.4,8.9
1992-04-16,108,8.1,4.3,13.1
1992-04-17,108,12.5,4.8,18
1992-04-18,108,11.2,7.5,15.4
1992-04-19,108,10,4.4,15.9
1992-04-20,108,13.4,6.8,19.9
1992-04-21,108,12.6,9.8,17.9
1992-04-22,108,12.5,7.8,18.4
1992-04-23,108,14.8,7.9,21
1992-04-24,108,14.1,10.5,17.9
1992-04-25,108,13.3,7.7,18.9
1992-04-26,108,13.4,6.5,20.4
1992-04-27,108,14.4,6.4,22.3
1992-04-28,108,12.2,9.3,15.2
1992-04-29,108,15.3,9.1,21
1992-04-30,108,12.3,10.1,15.7
1992-05-01,108,12.1,7.1,18.1
1992-05-02,108,13.9,8.1,21
1992-05-03,108,14.9,9.1,20.7
1992-05-04,108,18.4,10.7,26.3
1992-05-05,108,20.2,14.6,27.3
1992-05-06,108,15.2,11.2,19.4
1992-05-07,108,14.8,12.1,18
1992-05-08,108,14.5,11.5,19.9
1992-05-09,108,14.6,9.8,20.1
1992-05-10,108,16.2,8.7,21.7
1992-05-11,108,17.6,11.2,24
1992-05-12,108,17.8,11.6,23.2
1992-05-13,108,13.5,11.2,15.4
1992-05-14,108,17,11,22.5
1992-05-15,108,17.3,14.1,22.1
1992-05-16,108,14.7,12.6,17.8
1992-05-17,108,14.3,11.4,19.5
1992-05-18,108,15.5,12.1,21.1
1992-05-19,108,16.8,10.2,23.6
1992-05-20,108,18.5,12.8,24.5
1992-05-21,108,19,14.5,24.8
1992-05-22,108,19.4,13.6,24.7
1992-05-23,108,17,13.5,21.3
1992-05-24,108,14.4,11.3,19.8
1992-05-25,108,11.7,9.8,14.5
1992-05-26,108,13,11.5,19
1992-05-27,108,16.3,11.2,22
1992-05-28,108,16.9,12.6,22.1
1992-05-29,108,18.8,12.5,25.8
1992-05-30,108,22.8,15.1,29.9
1992-05-31,108,21.6,17,28.1
1992-06-01,108,22,15.3,29.2
1992-06-02,108,23.1,17.1,29.6
1992-06-03,108,21.4,17,27
1992-06-04,108,18.9,17.3,21
1992-06-05,108,21,17.1,25.9
1992-06-06,108,20.7,17.1,25.7
1992-06-07,108,16.3,13,21
1992-06-08,108,17.1,10.8,23
1992-06-09,108,19.2,15.9,23.5
1992-06-10,108,16.9,14.7,20.7
1992-06-11,108,17.1,14.3,20.8
1992-06-12,108,18.8,15.2,24.3
1992-06-13,108,19.7,16.8,24
1992-06-14,108,21.1,15.5,26.6
1992-06-15,108,23,16.2,29.4
1992-06-16,108,23.5,17.1,29.2
1992-06-17,108,20.8,18,24.9
1992-06-18,108,20.4,15.5,25.7
1992-06-19,108,20.1,14.6,25.5
1992-06-20,108,21.2,14.7,27.3
1992-06-21,108,20.7,16.4,24.4
1992-06-22,108,22.2,18.4,27
1992-06-23,108,21.8,17.7,26.4
1992-06-24,108,21.2,16,26.1
1992-06-25,108,21.7,18.1,27
1992-06-26,108,22.6,17.2,27.4
1992-06-27,108,24,18.5,29.8
1992-06-28,108,23.3,18.9,29
1992-06-29,108,23.3,19.2,29.7
1992-06-30,108,22.4,18.8,28.2
1992-07-01,108,23.3,19.8,27.5
1992-07-02,108,22.6,20.6,25.4
1992-07-03,108,21.4,19.1,22.5
1992-07-04,108,23.9,20.7,28.3
1992-07-05,108,25.2,20.3,31.3
1992-07-06,108,26.7,21.1,32.4
1992-07-07,108,25.6,22.3,30.6
1992-07-08,108,26,21.8,31.5
1992-07-09,108,25.5,20.6,30.3
1992-07-10,108,22.1,20.5,25.9
1992-07-11,108,21.4,20.4,22.7
1992-07-12,108,23.3,19.9,27.4
1992-07-13,108,24.3,21.3,28.2
1992-07-14,108,23.5,20.2,28.6
1992-07-15,108,23.4,19.8,28.1
1992-07-16,108,24.3,20,28.8
1992-07-17,108,21.5,20.5,24.4
1992-07-18,108,24,20.9,28.9
1992-07-19,108,26.7,22.9,31.5
1992-07-20,108,26.5,24.6,28.8
1992-07-21,108,26.8,25,28.1
1992-07-22,108,25.3,23,26.3
1992-07-23,108,26.2,22.5,30.3
1992-07-24,108,26.9,24.1,30
1992-07-25,108,26.3,23.7,29
1992-07-26,108,26.8,24.4,30.1
1992-07-27,108,25.4,24.6,26.1
1992-07-28,108,26.6,24.4,30.3
1992-07-29,108,27.4,25.3,30.6
1992-07-30,108,25.6,24.5,26.5
1992-07-31,108,25.5,22.5,29.4
1992-08-01,108,27.2,22.5,32.2
1992-08-02,108,26.6,22.9,31.4
1992-08-03,108,26,22.4,31.1
1992-08-04,108,24.8,20,30.5
1992-08-05,108,24.5,19.6,30.4
1992-08-06,108,24.2,22.5,26
1992-08-07,108,21.3,20.3,22.5
1992-08-08,108,24.5,20.7,30
1992-08-09,108,25.5,21,30.2
1992-08-10,108,25.3,21.8,29.6
1992-08-11,108,25.3,22.8,29.4
1992-08-12,108,23.5,21.1,26.9
1992-08-13,108,25.3,20.4,30
1992-08-14,108,21.2,19.8,25.4
1992-08-15,108,21,18.4,24
1992-08-16,108,24,21,27.2
1992-08-17,108,22.1,20.3,24
1992-08-18,108,25,20.3,30.4
1992-08-19,108,25.5,20.7,30.4
1992-08-20,108,25.9,20.3,31.2
1992-08-21,108,26,22.1,30
1992-08-22,108,25.6,23,30.4
1992-08-23,108,24.8,22.4,28.3
1992-08-24,108,24.6,22.3,27.7
1992-08-25,108,24.5,19.7,30.1
1992-08-26,108,25.5,20.5,30.3
1992-08-27,108,22.2,21,23.2
1992-08-28,108,23.2,22,25.6
1992-08-29,108,27.6,22.4,32.8
1992-08-30,108,28.4,23.7,32.7
1992-08-31,108,27.5,24.5,30.9
1992-09-01,108,25.2,23.1,26.9
1992-09-02,108,25.2,23.6,26.8
1992-09-03,108,25.1,23,27.8
1992-09-04,108,24.8,21.3,29.4
1992-09-05,108,25.2,21.1,30.9
1992-09-06,108,25.2,20.9,30.1
1992-09-07,108,22.7,21.4,23.9
1992-09-08,108,22.5,19.4,25.9
1992-09-09,108,20.5,16.2,25.3
1992-09-10,108,21.1,16.1,26.3
1992-09-11,108,21.2,15.7,26.5
1992-09-12,108,20.3,18.8,22.8
1992-09-13,108,19.9,16.9,23.3
1992-09-14,108,22,18.2,26.5
1992-09-15,108,21.5,17.1,27.7
1992-09-16,108,20.7,16.6,24.6
1992-09-17,108,19.6,13.6,24.4
1992-09-18,108,20.7,16.6,26.3
1992-09-19,108,20,14.4,25.4
1992-09-20,108,20,16.5,24.6
1992-09-21,108,20.8,16.5,26.1
1992-09-22,108,20.5,16,25.6
1992-09-23,108,21.1,15.2,26.2
1992-09-24,108,20.4,18.3,22.2
1992-09-25,108,19,14.6,23.5
1992-09-26,108,16.8,11.3,21.7
1992-09-27,108,15.8,9.3,21.9
1992-09-28,108,15.1,12.2,17.7
1992-09-29,108,16.4,13,20.7
1992-09-30,108,16.2,10.4,22.2
1992-10-01,108,18.2,12,25.1
1992-10-02,108,18.8,13,24.9
1992-10-03,108,16.7,14.9,19.6
1992-10-04,108,16.3,14.1,20.6
1992-10-05,108,14.8,10.5,18.9
1992-10-06,108,13.9,8.1,19.4
1992-10-07,108,15.1,12,19.7
1992-10-08,108,15.3,11.5,19
1992-10-09,108,15.1,9.3,20.6
1992-10-10,108,14.4,9.6,19.4
1992-10-11,108,15.7,10.1,21.3
1992-10-12,108,15.6,12.6,20.3
1992-10-13,108,16.3,12,21.7
1992-10-14,108,16.2,10.8,21.6
1992-10-15,108,16.8,12.7,21.6
1992-10-16,108,16.7,13.1,21.5
1992-10-17,108,15.6,12.2,21.6
1992-10-18,108,14.7,11,19.6
1992-10-19,108,14.1,9.8,20.3
1992-10-20,108,14.2,8.6,20.4
1992-10-21,108,14.3,9.2,20
1992-10-22,108,14.3,9.4,18.5
1992-10-23,108,12.5,10.2,14.9
1992-10-24,108,9.1,6,12.9
1992-10-25,108,8.2,5.9,11.5
1992-10-26,108,9,4,14.1
1992-10-27,108,10.2,4.1,16.5
1992-10-28,108,10.6,5.3,16.3
1992-10-29,108,11.5,7,16.3
1992-10-30,108,10.6,7.2,13.3
1992-10-31,108,9.8,6,13.8
1992-11-01,108,8.2,3.9,13.3
1992-11-02,108,7.8,1.8,13.8
1992-11-03,108,10.7,6.4,15.3
1992-11-04,108,10.1,4.9,15.3
1992-11-05,108,8.9,4.6,13.6
1992-11-06,108,11,5.9,17.1
1992-11-07,108,11.9,9,17.2
1992-11-08,108,9.9,8.8,11.3
1992-11-09,108,4.9,2,8.9
1992-11-10,108,3.2,1.3,5.5
1992-11-11,108,5.4,-0.4,10.3
1992-11-12,108,9.2,5.6,13
1992-11-13,108,8.6,6.7,14.4
1992-11-14,108,9.4,6.4,13.3
1992-11-15,108,6.8,1,11
1992-11-16,108,3.2,-1.4,7.1
1992-11-17,108,5.8,1,11.1
1992-11-18,108,9.1,3.1,15.3
1992-11-19,108,9.9,5.5,14.6
1992-11-20,108,1,-0.7,5.5
1992-11-21,108,2.6,-2.4,7.8
1992-11-22,108,7.1,4.7,10.3
1992-11-23,108,6.6,3.2,9.8
1992-11-24,108,7,1.8,13.6
1992-11-25,108,1,-4.5,4
1992-11-26,108,-5.7,-8.5,-2.4
1992-11-27,108,-3.7,-9,2
1992-11-28,108,1.5,-3.9,7.1
1992-11-29,108,6.7,3.2,11.7
1992-11-30,108,7,1.5,13.8
1992-12-01,108,4.8,1.5,8.5
1992-12-02,108,3.8,-1.1,10.3
1992-12-03,108,2.9,-0.4,7
1992-12-04,108,4.6,-1.5,10.6
1992-12-05,108,8.9,5.3,13.3
1992-12-06,108,9.3,7.6,10.3
1992-12-07,108,9.5,7.2,10.9
1992-12-08,108,7,4.5,9.2
1992-12-09,108,4.3,2,6.7
1992-12-10,108,2.5,-4,5.2
1992-12-11,108,-3,-6.4,0.2
1992-12-12,108,-0.4,-3.5,2.5
1992-12-13,108,0,-6.1,4.4
1992-12-14,108,-5,-8.2,-1.3
